Timestamp,acc.z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
344852,0.9992370009422302,0,0,0,0
344862,0.9997722506523132,0,0,0,0
344872,1.0004222393035889,0,0,0,0
344882,1.0001049041748047,0,0,0,0
344892,1.0014111995697021,0,0,0,0
344902,1.0018811225891113,0,0,0,0
344912,1.000231146812439,0,0,0,0
344922,0.9985626935958862,0,0,0,0
344932,0.9966697692871094,0,0,0,0
344942,0.9984761476516724,0,0,0,0
344952,0.9985868334770203,0,0,0,0
344962,1.0002800226211548,0,0,0,0
344972,1.0001496076583862,0,0,0,0
344982,1.0009149312973022,0,0,0,0
344992,0.9993655681610107,0,0,0,0
345002,0.9991251826286316,0,0,0,0
345012,0.9997984170913696,0,0,0,0
345022,0.9990113973617554,0,0,0,0
345032,1.0000653266906738,0,0,0,0
345042,1.0005847215652466,0,0,0,0
345052,0.9987269043922424,0,0,0,0
345062,0.9978129267692566,0,0,0,0
345072,1.001132607460022,0,0,0,0
345082,1.000734567642212,0,0,0,0
345092,0.9990344643592834,0,0,0,0
345102,0.999343752861023,0,0,0,0
345112,1.001453161239624,0,0,0,0
345122,1.0015219449996948,0,0,0,0
345132,0.9980884790420532,0,0,0,0
345142,0.9992615580558777,0,0,0,0
345152,0.9998618960380554,0,0,0,0
345162,1.0010643005371094,0,0,0,0
345172,1.0012966394424438,0,0,0,0
345182,0.9980229735374451,0,0,0,0
345192,0.9986146092414856,0,0,0,0
345202,0.9995852708816528,0,0,0,0
345212,1.0019358396530151,0,0,0,0
345222,1.0013335943222046,0,0,0,0
345232,1.0021880865097046,0,0,0,0
345242,1.0023871660232544,0,0,0,0
345252,1.000050663948059,0,0,0,0
345262,0.9998793601989746,0,0,0,0
345272,0.9996576309204102,0,0,0,0
345282,0.9985617399215698,0,0,0,0
345292,0.9979633688926697,0,0,0,0
345302,1.00166916847229,0,0,0,0
345312,1.001266598701477,0,0,0,0
345322,0.9978798031806946,0,0,0,0
345332,1.000057578086853,0,0,0,0
345342,1.0006628036499023,0,0,0,0
345352,1.0009139776229858,0,0,0,0
345362,1.000220775604248,0,0,0,0
345372,0.999376118183136,0,0,0,0
345382,0.9993454813957214,0,0,0,0
345392,0.9994742274284363,0,0,0,0
345402,0.9993569254875183,0,0,0,0
345412,0.9991320371627808,0,0,0,0
345422,1.0005985498428345,0,0,0,0
345432,1.0005064010620117,0,0,0,0
345442,0.9992902278900146,0,0,0,0
345452,0.9994844198226929,0,0,0,0
345462,1.0003904104232788,0,0,0,0
345472,1.0004345178604126,0,0,0,0
345482,1.0017037391662598,0,0,0,0
345492,0.9999641180038452,0,0,0,0
345502,1.000670075416565,0,0,0,0
345512,1.0005872249603271,0,0,0,0
345522,1.0009552240371704,0,0,0,0
345532,0.9989863038063049,0,0,0,0
345542,1.0004664659500122,0,0,0,0
